line_id,wavelength,atomic_number,ion_number,f_ul,f_lu,level_number_lower,level_number_upper,nu,B_lu,B_ul,A_ul,wavelength_cm
566365,147097.7368663938,1,0,0.001134,0.004536,10.0,21.0,20380494247324.555,11202489431.515736,2800622357.878934,349.5773607490118,0.0014709773686639382
566340,149622.58702350862,1,0,0.0076484375,0.01958,9.0,15.0,20036577629345.277,49186435751.69344,19213451465.505253,2278.875659547004,0.0014962258702350864
566364,152039.29961977215,1,0,0.0015762925170068028,0.005745,10.0,20.0,19718089911604.21,14664977442.155916,4023723969.3897185,454.8490793113729,0.0015203929961977217
566391,156302.22102142256,1,0,0.00022463999999999996,0.0014039999999999999,11.0,29.0,19180306974582.97,3684408393.617735,589505342.9788376,61.33367938031002,0.0015630222102142259
566363,158169.60540757817,1,0,0.00225907,0.007468000000000001,10.0,19.0,18953860144462.14,19831832530.226974,5999129340.393661,602.3180147124849,0.001581696054075782
566390,158419.13987442004,1,0,0.00027687039239001195,0.0016170000000000002,11.0,28.0,18924004904814.375,4300838916.693359,736409992.8702067,73.58739700508903,0.0015841913987442006
566389,160834.98381494288,1,0,0.0003449387755102041,0.0018780000000000001,11.0,27.0,18639754292818.65,5071210214.817943,931446774.1502345,88.94534104841901,0.0016083498381494292
566293,162091.02811844216,1,0,0.184064,0.2876,7.0,9.0,18495314730247.59,782678428917.9425,500914194507.4831,46729.7145981498,0.001620910281184422
566388,163612.35305949068,1,0,0.0004351604938271605,0.002203,11.0,26.0,18323338818493.316,6051542584.556709,1195366436.4556463,108.43250884362993,0.0016361235305949072
566339,164117.26994449404,1,0,0.013817777777777776,0.031089999999999996,9.0,14.0,18266965938526.305,85666399055.61635,38073955135.82949,3421.9358426193567,0.0016411726994449408
566362,165944.627385287,1,0,0.003358504155124654,0.010020000000000001,10.0,18.0,18065812839119.383,27916850686.153004,9357171559.624691,813.5078052047253,0.0016594462738528703
566387,166832.0511049466,1,0,0.0005564023668639054,0.002612,11.0,25.0,17969716011668.16,7316243777.705756,1558489798.8012261,133.3436126007554,0.0016683205110494662
566316,168806.2877737268,1,0,0.060918749999999994,0.1083,8.0,11.0,17759555165495.44,306939359089.17175,172653389487.6591,14259.883300671256,0.0016880628777372682
566386,170600.13219730512,1,0,0.0007227648,0.003137,11.0,24.0,17572815105048.06,8985233921.1086,2070197895.4234219,165.64582470651698,0.0017060013219730515
566385,175058.4808694018,1,0,0.000956,0.003824,11.0,23.0,17125274737397.783,11239229643.308956,2809807410.827239,208.08166208940676,0.0017505848086940183
566361,176082.5018264111,1,0,0.005235864197530865,0.01402,10.0,17.0,17025681421516.082,41447631654.73139,15478899475.995369,1126.4144164537977,0.0017608250182641115
566384,180401.17307666782,1,0,0.0012919168241965974,0.004746,11.0,22.0,16618099144654.266,14374826019.560781,3912996118.7462244,264.787857858972,0.0018040117307666786
566338,186151.52586829165,1,0,0.028127551020408162,0.05513,9.0,13.0,16104754264120.994,172301912832.70004,87909139200.35716,5414.282934491359,0.0018615152586829169
566383,186900.66847663792,1,0,0.001789586776859504,0.0060149999999999995,11.0,21.0,16040202554838.543,18874784085.59059,5615638240.3410015,341.7222675100515,0.0018690066847663795
566408,189711.56515322567,1,0,0.00031602999999999997,0.0016829999999999998,12.0,29.0,15802539911463.197,5360600332.48377,1006601617.9886192,58.57103841638645,0.0018971156515322572
566360,189782.3321644562,1,0,0.008666782006920415,0.0207,10.0,16.0,15796647379178.283,65957111885.16264,27615261377.524845,1605.0499089992472,0.0018978233216445622
566269,190618.94142141598,1,0,1.23725,1.6159999999999999,6.0,7.0,15727317325576.04,5171814218365.019,3959670260935.7173,227126.38174359335,0.0019061894142141601
566407,192839.23290814733,1,0,0.0003928596908442331,0.001955,12.0,28.0,15546237841694.605,6329620365.227067,1271945115.0099578,70.46750692092256,0.0019283923290814736
566382,194951.48377437264,1,0,0.0025551020408163265,0.007825,11.0,20.0,15377798219118.205,25612171257.261127,8363157961.554653,448.4328152153646,0.0019495148377437267
566406,196430.81434154423,1,0,0.000494281887755102,0.002293,12.0,27.0,15261987229698.879,7562217737.412114,1630120915.3350096,85.44717111922468,0.001964308143415443
566405,200589.48757996646,1,0,0.0006305624142661179,0.0027199999999999998,12.0,26.0,14945571755373.547,9160360785.162888,2123595298.618008,104.53313353358874,0.002005894875799665
566381,205146.64777818884,1,0,0.0037872,0.01052,11.0,19.0,14613568451976.13,36233949146.52715,13044221692.749777,600.249238661302,0.0020514664777818888
566404,205450.5940618874,1,0,0.000817,0.003268,12.0,25.0,14591948948548.389,11272622283.451305,2818155570.8628263,129.10690808261876,0.0020545059406188743
566359,209205.6471981796,1,0,0.015588203125000002,0.03298,10.0,15.0,14330036593897.863,115840269900.0424,54752627569.941925,2375.6993347415,0.0020920564719817962
566403,211195.09924481757,1,0,0.0010778144,0.003986,12.0,24.0,14195048041928.293,14133724984.878603,3821759235.911174,161.18274063039712,0.002111950992448176
566402,218070.40599869634,1,0,0.00145234375,0.00495,12.0,23.0,13747507674278.012,18123306572.35177,5317428490.846266,203.71273642671915,0.0021807040599869636
566380,218419.72687028625,1,0,0.005879667590027701,0.014740000000000001,11.0,18.0,13725521146633.373,54053628083.43946,21561558016.662827,822.0746970064918,0.002184197268702863
